Hand_ID,Total_Bet,Total_Won,Net_Result,Total
RC3192546162,1.72,2.02,0.30000000000000004,4.74
RC3192546000,0.1,0.0,-0.1,4.64
RC3192545897,0.0,0.0,0.0,4.64
RC3192545870,0.0,0.0,0.0,4.64
RC3192545844,0.0,0.0,0.0,4.64
RC3192545819,0.05,0.0,-0.05,4.59
RC3192545737,0.1,0.0,-0.1,4.49
RC3192545713,0.0,0.0,0.0,4.49
RC3192545692,0.0,0.0,0.0,4.49
RC3192545669,0.0,0.0,0.0,4.49
RC3192545580,0.22,0.37,0.15,4.64
RC3192545555,0.0,0.0,0.0,4.64
RC3192545529,0.05,0.0,-0.05,4.59
RC3192545463,0.1,0.0,-0.1,4.49
RC3192545443,0.0,0.0,0.0,4.49
RC3192545417,0.0,0.0,0.0,4.49
RC3192545369,0.0,0.0,0.0,4.49
RC3192545345,0.0,0.0,0.0,4.49
RC3192545244,0.1,0.15000000000000002,0.05000000000000002,4.54
RC3192545216,0.05,0.0,-0.05,4.49
RC3192545191,0.0,0.0,0.0,4.49
RC3192545165,0.0,0.0,0.0,4.49
RC3192545142,0.0,0.0,0.0,4.49
RC3192545115,0.0,0.0,0.0,4.49
RC3192545092,0.05,0.0,-0.05,4.44
RC3192544841,0.1,0.0,-0.1,4.34
RC3192544817,0.0,0.0,0.0,4.34
RC3192544790,0.0,0.0,0.0,4.34
RC3192544763,0.0,0.0,0.0,4.34
RC3192504672,0.22,0.37,0.15,4.49
RC3192504642,0.05,0.0,-0.05,4.44
RC3192504602,0.1,0.0,-0.1,4.34
RC3192504561,0.0,0.0,0.0,4.34
RC3192504532,0.0,0.0,0.0,4.34
RC3192504506,0.0,0.0,0.0,4.34
RC3192504290,0.44,0.0,-0.44,3.9
RC3192503950,0.56,1.1099999999999999,0.5499999999999998,4.45
RC3192503882,0.1,0.0,-0.1,4.35
RC3192503855,0.0,0.0,0.0,4.35
RC3192503830,0.0,0.0,0.0,4.35
RC3192503806,0.0,0.0,0.0,4.35
RC3192503786,0.0,0.0,0.0,4.35
RC3192503681,0.05,0.0,-0.05,4.3
RC3192503617,0.1,0.0,-0.1,4.2
RC3192503591,0.0,0.0,0.0,4.2
RC3192503565,0.0,0.0,0.0,4.2
RC3192503380,0.4,0.7,0.29999999999999993,4.5
RC3192503043,1.07,0.0,-1.07,3.43
RC3192503019,0.05,0.0,-0.05,3.38
RC3192502979,0.1,0.0,-0.1,3.28
RC3192502958,0.0,0.0,0.0,3.28
RC3192502938,0.0,0.0,0.0,3.28
RC3192502392,4.86,0.0,-4.86,-1.58
